ethnicity,agecut,Year,sex,erppop
All,0,2006,M,146210
All,0,2006,F,139790
All,0,2013,M,160150
All,0,2013,F,151770
All,5,2006,M,149230
All,5,2006,F,142650
All,5,2013,M,153570
All,5,2013,F,146490
All,10,2006,M,159520
All,10,2006,F,150920
All,10,2013,M,152180
All,10,2013,F,144580
All,15,2006,M,159400
All,15,2006,F,154160
All,15,2013,M,160150
All,15,2013,F,152330
All,20,2006,M,145850
All,20,2006,F,145330
All,20,2013,M,159180
All,20,2013,F,155740
All,25,2006,M,126770
All,25,2006,F,133600
All,25,2013,M,135330
All,25,2013,F,142160
All,30,2006,M,136320
All,30,2006,F,149700
All,30,2013,M,129510
All,30,2013,F,141580
All,35,2006,M,149140
All,35,2006,F,163430
All,35,2013,M,131500
All,35,2013,F,144860
All,40,2006,M,155940
All,40,2006,F,166540
All,40,2013,M,150170
All,40,2013,F,166410
All,45,2006,M,149120
All,45,2006,F,156040
All,45,2013,M,150100
All,45,2013,F,161890
All,50,2006,M,129930
All,50,2006,F,133720
All,50,2013,M,151680
All,50,2013,F,161990
All,55,2006,M,120080
All,55,2006,F,122930
All,55,2013,M,132170
All,55,2013,F,139590
All,60,2006,M,91900
All,60,2006,F,94760
All,60,2013,M,117900
All,60,2013,F,123110
All,65,2006,M,75620
All,65,2006,F,79910
All,65,2013,M,100570
All,65,2013,F,105190
All,70,2006,M,57380
All,70,2006,F,62790
All,70,2013,M,74040
All,70,2013,F,80000
All,75,2006,M,47570
All,75,2006,F,56030
All,75,2013,M,51010
All,75,2013,F,58330
All,80,2006,M,30180
All,80,2006,F,44000
All,80,2013,M,36100
All,80,2013,F,46030
All,85,2006,M,13160
All,85,2006,F,25920
All,85,2013,M,19340
All,85,2013,F,30440
All,90+,2006,M,5020
All,90+,2006,F,14040
All,90+,2013,M,7500
All,90+,2013,F,17440
European,0,2006,M,106820
European,0,2006,F,102540
European,0,2013,M,114020
European,0,2013,F,108210
European,5,2006,M,108390
European,5,2006,F,103440
European,5,2013,M,110840
European,5,2013,F,106130
European,10,2006,M,114780
European,10,2006,F,109270
European,10,2013,M,108160
European,10,2013,F,103110
European,15,2006,M,112450
European,15,2006,F,109920
European,15,2013,M,110500
European,15,2013,F,106260
European,20,2006,M,95680
European,20,2006,F,96230
European,20,2013,M,104750
European,20,2013,F,105610
European,25,2006,M,86890
European,25,2006,F,92240
European,25,2013,M,86880
European,25,2013,F,91650
European,30,2006,M,100980
European,30,2006,F,110690
European,30,2013,M,84660
European,30,2013,F,93150
European,35,2006,M,112970
European,35,2006,F,122680
European,35,2013,M,94040
European,35,2013,F,103580
European,40,2006,M,118960
European,40,2006,F,126260
European,40,2013,M,112410
European,40,2013,F,123230
European,45,2006,M,117660
European,45,2006,F,122210
European,45,2013,M,113780
European,45,2013,F,121250
European,50,2006,M,105530
European,50,2006,F,107990
European,50,2013,M,118600
European,50,2013,F,124980
European,55,2006,M,101520
European,55,2006,F,103600
European,55,2013,M,105650
European,55,2013,F,109830
European,60,2006,M,79260
European,60,2006,F,81210
European,60,2013,M,97330
European,60,2013,F,100930
European,65,2006,M,65440
European,65,2006,F,68880
European,65,2013,M,86330
European,65,2013,F,89890
European,70,2006,M,50940
European,70,2006,F,55660
European,70,2013,M,64340
European,70,2013,F,69290
European,75,2006,M,44040
European,75,2006,F,51820
European,75,2013,M,44950
European,75,2013,F,51450
European,80,2006,M,28660
European,80,2006,F,41670
European,80,2013,M,33160
European,80,2013,F,42080
European,85,2006,M,12670
European,85,2006,F,24940
European,85,2013,M,18320
European,85,2013,F,28780
European,90+,2006,M,4830
European,90+,2006,F,13610
European,90+,2013,M,7200
European,90+,2013,F,16770
Maori,0,2006,M,37460
Maori,0,2006,F,35580
Maori,0,2013,M,43200
Maori,0,2013,F,40840
Maori,5,2006,M,36500
Maori,5,2006,F,34900
Maori,5,2013,M,39590
Maori,5,2013,F,37570
Maori,10,2006,M,36520
Maori,10,2006,F,34330
Maori,10,2013,M,37000
Maori,10,2013,F,34790
Maori,15,2006,M,32900
Maori,15,2006,F,33090
Maori,15,2013,M,35140
Maori,15,2013,F,33740
Maori,20,2006,M,24200
Maori,20,2006,F,25900
Maori,20,2013,M,28410
Maori,20,2013,F,30470
Maori,25,2006,M,20620
Maori,25,2006,F,22960
Maori,25,2013,M,20580
Maori,25,2013,F,24090
Maori,30,2006,M,20280
Maori,30,2006,F,23040
Maori,30,2013,M,18120
Maori,30,2013,F,21650
Maori,35,2006,M,19940
Maori,35,2006,F,22610
Maori,35,2013,M,18560
Maori,35,2013,F,21690
Maori,40,2006,M,19170
Maori,40,2006,F,21360
Maori,40,2013,M,19920
Maori,40,2013,F,22990
Maori,45,2006,M,16760
Maori,45,2006,F,18590
Maori,45,2013,M,18620
Maori,45,2013,F,20900
Maori,50,2006,M,12930
Maori,50,2006,F,13930
Maori,50,2013,M,17650
Maori,50,2013,F,20100
Maori,55,2006,M,10070
Maori,55,2006,F,10860
Maori,55,2013,M,13400
Maori,55,2013,F,15170
Maori,60,2006,M,6770
Maori,60,2006,F,7360
Maori,60,2013,M,10200
Maori,60,2013,F,11420
Maori,65,2006,M,5410
Maori,65,2006,F,5930
Maori,65,2013,M,7130
Maori,65,2013,F,7900
Maori,70,2006,M,3350
Maori,70,2006,F,3780
Maori,70,2013,M,4790
Maori,70,2013,F,5420
Maori,75,2006,M,1810
Maori,75,2006,F,2380
Maori,75,2013,M,2700
Maori,75,2013,F,3440
Maori,80,2006,M,780
Maori,80,2006,F,1230
Maori,80,2013,M,1350
Maori,80,2013,F,2010
Maori,85,2006,M,230
Maori,85,2006,F,470
Maori,85,2013,M,460
Maori,85,2013,F,820
Maori,90+,2006,M,90
Maori,90+,2006,F,210
Maori,90+,2013,M,130
Maori,90+,2013,F,310
Pasifika,0,2006,M,20140
Pasifika,0,2006,F,18980
Pasifika,0,2013,M,22860
Pasifika,0,2013,F,21700
Pasifika,5,2006,M,18540
Pasifika,5,2006,F,18040
Pasifika,5,2013,M,20230
Pasifika,5,2013,F,19130
Pasifika,10,2006,M,17680
Pasifika,10,2006,F,16900
Pasifika,10,2013,M,19180
Pasifika,10,2013,F,18440
Pasifika,15,2006,M,16070
Pasifika,15,2006,F,15770
Pasifika,15,2013,M,17970
Pasifika,15,2013,F,17760
Pasifika,20,2006,M,12230
Pasifika,20,2006,F,12700
Pasifika,20,2013,M,14960
Pasifika,20,2013,F,15840
Pasifika,25,2006,M,10710
Pasifika,25,2006,F,11540
Pasifika,25,2013,M,11550
Pasifika,25,2013,F,12160
Pasifika,30,2006,M,10080
Pasifika,30,2006,F,10700
Pasifika,30,2013,M,10310
Pasifika,30,2013,F,11060
Pasifika,35,2006,M,9860
Pasifika,35,2006,F,10560
Pasifika,35,2013,M,9720
Pasifika,35,2013,F,10430
Pasifika,40,2006,M,8910
Pasifika,40,2006,F,9340
Pasifika,40,2013,M,9640
Pasifika,40,2013,F,10300
Pasifika,45,2006,M,7120
Pasifika,45,2006,F,7490
Pasifika,45,2013,M,8930
Pasifika,45,2013,F,9590
Pasifika,50,2006,M,5710
Pasifika,50,2006,F,5780
Pasifika,50,2013,M,7370
Pasifika,50,2013,F,7920
Pasifika,55,2006,M,4320
Pasifika,55,2006,F,4490
Pasifika,55,2013,M,5720
Pasifika,55,2013,F,5930
Pasifika,60,2006,M,3130
Pasifika,60,2006,F,3310
Pasifika,60,2013,M,4560
Pasifika,60,2013,F,4780
Pasifika,65,2006,M,2300
Pasifika,65,2006,F,2610
Pasifika,65,2013,M,3200
Pasifika,65,2013,F,3410
Pasifika,70,2006,M,1320
Pasifika,70,2006,F,1750
Pasifika,70,2013,M,2060
Pasifika,70,2013,F,2410
Pasifika,75,2006,M,860
Pasifika,75,2006,F,1110
Pasifika,75,2013,M,1200
Pasifika,75,2013,F,1550
Pasifika,80,2006,M,390
Pasifika,80,2006,F,640
Pasifika,80,2013,M,600
Pasifika,80,2013,F,950
Pasifika,85,2006,M,130
Pasifika,85,2006,F,280
Pasifika,85,2013,M,220
Pasifika,85,2013,F,480
Pasifika,90+,2006,M,30
Pasifika,90+,2006,F,120
Pasifika,90+,2013,M,70
Pasifika,90+,2013,F,160
Asian,0,2006,M,13890
Asian,0,2006,F,12980
Asian,0,2013,M,21100
Asian,0,2013,F,20030
Asian,5,2006,M,13740
Asian,5,2006,F,13170
Asian,5,2013,M,17450
Asian,5,2013,F,16480
Asian,10,2006,M,15360
Asian,10,2006,F,14450
Asian,10,2013,M,16800
Asian,10,2013,F,15990
Asian,15,2006,M,18210
Asian,15,2006,F,17630
Asian,15,2013,M,21650
Asian,15,2013,F,19940
Asian,20,2006,M,26890
Asian,20,2006,F,26840
Asian,20,2013,M,29690
Asian,20,2013,F,25940
Asian,25,2006,M,19110
Asian,25,2006,F,20270
Asian,25,2013,M,28040
Asian,25,2013,F,29520
Asian,30,2006,M,14390
Asian,30,2006,F,17650
Asian,30,2013,M,25740
Asian,30,2013,F,28380
Asian,35,2006,M,14260
Asian,35,2006,F,18490
Asian,35,2013,M,18620
Asian,35,2013,F,21620
Asian,40,2006,M,15640
Asian,40,2006,F,18730
Asian,40,2013,M,17140
Asian,40,2013,F,21910
Asian,45,2006,M,13090
Asian,45,2006,F,15170
Asian,45,2013,M,16180
Asian,45,2013,F,19810
Asian,50,2006,M,9840
Asian,50,2006,F,11000
Asian,50,2013,M,14310
Asian,50,2013,F,17490
Asian,55,2006,M,7120
Asian,55,2006,F,7710
Asian,55,2013,M,11840
Asian,55,2013,F,14420
Asian,60,2006,M,4630
Asian,60,2006,F,5210
Asian,60,2013,M,8960
Asian,60,2013,F,10280
Asian,65,2006,M,3950
Asian,65,2006,F,4270
Asian,65,2013,M,6040
Asian,65,2013,F,6690
Asian,70,2006,M,2660
Asian,70,2006,F,2700
Asian,70,2013,M,4170
Asian,70,2013,F,4570
Asian,75,2006,M,1390
Asian,75,2006,F,1500
Asian,75,2013,M,2890
Asian,75,2013,F,2990
Asian,80,2006,M,620
Asian,80,2006,F,860
Asian,80,2013,M,1390
Asian,80,2013,F,1590
Asian,85,2006,M,230
Asian,85,2006,F,390
Asian,85,2013,M,490
Asian,85,2013,F,670
Asian,90+,2006,M,90
Asian,90+,2006,F,190
Asian,90+,2013,M,160
Asian,90+,2013,F,320
Other,0,2006,M,1980
Other,0,2006,F,1760
Other,0,2013,M,2700
Other,0,2013,F,2640
Other,5,2006,M,1740
Other,5,2006,F,1670
Other,5,2013,M,2210
Other,5,2013,F,2100
Other,10,2006,M,1620
Other,10,2006,F,1560
Other,10,2013,M,1980
Other,10,2013,F,1790
Other,15,2006,M,2010
Other,15,2006,F,1710
Other,15,2013,M,2190
Other,15,2013,F,1990
Other,20,2006,M,2080
Other,20,2006,F,1820
Other,20,2013,M,2720
Other,20,2013,F,2360
Other,25,2006,M,1880
Other,25,2006,F,1920
Other,25,2013,M,2860
Other,25,2013,F,2750
Other,30,2006,M,1840
Other,30,2006,F,1820
Other,30,2013,M,2890
Other,30,2013,F,2920
Other,35,2006,M,1920
Other,35,2006,F,1560
Other,35,2013,M,2260
Other,35,2013,F,2320
Other,40,2006,M,1570
Other,40,2006,F,1370
Other,40,2013,M,2010
Other,40,2013,F,1880
Other,45,2006,M,1230
Other,45,2006,F,1060
Other,45,2013,M,1670
Other,45,2013,F,1570
Other,50,2006,M,840
Other,50,2006,F,790
Other,50,2013,M,1290
Other,50,2013,F,1210
Other,55,2006,M,550
Other,55,2006,F,490
Other,55,2013,M,950
Other,55,2013,F,910
Other,60,2006,M,350
Other,60,2006,F,320
Other,60,2013,M,630
Other,60,2013,F,520
Other,65,2006,M,180
Other,65,2006,F,220
Other,65,2013,M,390
Other,65,2013,F,350
Other,70,2006,M,140
Other,70,2006,F,170
Other,70,2013,M,230
Other,70,2013,F,230
Other,75,2006,M,100
Other,75,2006,F,100
Other,75,2013,M,130
Other,75,2013,F,150
Other,80,2006,M,50
Other,80,2006,F,70
Other,80,2013,M,80
Other,80,2013,F,100
Other,85,2006,M,10
Other,85,2006,F,20
Other,85,2013,M,50
Other,85,2013,F,60
Other,90+,2006,M,10
Other,90+,2006,F,20
Other,90+,2013,M,10
Other,90+,2013,F,30
